x,y,z_top,z_bot,Sxx_jump,Syy_jump,Szz_jump,Sxy_jump,Syz_jump,Sxz_jump,tx_jump,ty_jump,tz_jump,tmag_jump
-0.05,0.45,0.13852572441101074,-0.02706250036135316,0.0005295407,0.0001650888,0.00010424713,-3.8483173e-05,0.0011325886,0.001043668,0.0010436680167913437,0.0011325886007398367,0.00010424712672829628,0.001543653889714305
0.05,-0.45,0.123653843998909,-0.01924721011891961,-0.0005295407,-0.0001650888,-0.00010424713,3.8483173e-05,-0.0011325886,-0.001043668,-0.0010436680167913437,-0.0011325886007398367,-0.00010424712672829628,0.001543653889714305
0.05,-0.35000001,0.12333788350224495,-0.021929058479145166,-0.00047513377,-0.00013679918,4.764594e-05,-3.4970403e-06,-0.0007045518,-0.0010280702,-0.0010280702263116837,-0.0007045518141239882,4.764593904837966e-05,0.0012472336527378344
0.05,-0.25000001,0.12302192114293575,-0.024610906373709437,-0.00045748474,-0.00011866144,8.9193716e-05,-1.6445996e-05,-0.00045619832,-0.0010105167,-0.0010105166584253311,-0.0004561983223538846,8.919371612137184e-05,0.0011123022724372795
0.05,-0.15,0.12270595692098141,-0.027292754966765635,-0.00044957176,-0.000108429,0.000104856765,-1.2544892e-05,-0.0002447661,-0.0009976476,-0.0009976476430892944,-0.00024476609542034566,0.00010485676466487348,0.0010325726135845994
0.05,-0.05,0.12238999456167221,-0.029974603559821834,-0.00044654403,-0.00010430324,0.00010988605,-4.5454763e-06,-7.7012526e-05,-0.0009911414,-0.0009911414235830307,-7.701252616243437e-05,0.00010988605208694935,0.0010001835807347428
0.05,0.05,0.12207403406500816,-0.03265645122155546,-0.00044654403,-0.00010430324,0.00010988605,4.5454763e-06,7.7012526e-05,-0.0009911414,-0.0009911414235830307,7.701252616243437e-05,0.00010988605208694935,0.0010001835807347428
0.05,0.15,0.12175807170569897,-0.03533829934895038,-0.00044957176,-0.000108429,0.000104856765,1.2544892e-05,0.0002447661,-0.0009976476,-0.0009976476430892944,0.00024476609542034566,0.00010485676466487348,0.0010325726135845994
0.05,0.25000001,0.12144210934638977,-0.038020148407667875,-0.00045748474,-0.00011866144,8.9193716e-05,1.6445996e-05,0.00045619832,-0.0010105167,-0.0010105166584253311,0.0004561983223538846,8.919371612137184e-05,0.0011123022724372795
0.05,0.35000001,0.12112614698708057,-0.040701997466385365,-0.00047513377,-0.00013679918,4.764594e-05,3.4970403e-06,0.0007045518,-0.0010280702,-0.0010280702263116837,0.0007045518141239882,4.764593904837966e-05,0.0012472336527378344
0.05,0.45,0.12081018462777138,-0.04338384559378028,-0.0005295407,-0.0001650888,-0.00010424713,-3.8483173e-05,0.0011325886,-0.001043668,-0.0010436680167913437,0.0011325886007398367,-0.00010424712672829628,0.001543653889714305
0.15,-0.45,0.10593830235302448,-0.03556855535134673,-0.0016111182,-0.0005056723,-0.000311587,3.8623366e-05,-0.0011281394,-0.0032229498,-0.003222949802875519,-0.001128139439970255,-0.00031158700585365295,0.003428875980563979
0.15,-0.35000001,0.10562233999371529,-0.03825040394440293,-0.0014432692,-0.00041298685,0.00015400254,-6.69803e-06,-0.00066534465,-0.0031706542,-0.0031706541776657104,-0.0006653446471318603,0.00015400254051201046,0.003243369882745444
0.15,-0.25000001,0.10530637763440609,-0.04093225207179785,-0.001393172,-0.0003596726,0.0002704254,-1.8716379e-05,-0.00042212754,-0.0031139571,-0.0031139571219682693,-0.00042212754487991333,0.00027042540023103356,0.003154053030418697
0.15,-0.15,0.1049904152750969,-0.04361410066485405,-0.001370444,-0.0003304584,0.00031341202,-1.3357065e-05,-0.00022349779,-0.0030742548,-0.0030742548406124115,-0.00022349778737407178,0.00031341201975010335,0.0030982609928980787
0.15,-0.05,0.1046744529157877,-0.046295948792248964,-0.0013617501,-0.00031923875,0.00032673677,-4.672688e-06,-7.00153e-05,-0.0030545704,-0.0030545704066753387,-7.00153032084927e-05,0.00032673677196726203,0.0030727934245854713
0.15,0.05,0.1043584905564785,-0.04897779645398259,-0.0013617501,-0.00031923875,0.00032673677,4.672688e-06,7.00153e-05,-0.0030545704,-0.0030545704066753387,7.00153032084927e-05,0.00032673677196726203,0.0030727934245854713
0.15,0.15,0.1040425281971693,-0.05165964411571622,-0.001370444,-0.0003304584,0.00031341202,1.3357065e-05,0.00022349779,-0.0030742548,-0.0030742548406124115,0.00022349778737407178,0.00031341201975010335,0.0030982609928980787
0.15,0.25000001,0.10372656490653753,-0.054341493640094995,-0.001393172,-0.0003596726,0.0002704254,1.8716379e-05,0.00042212754,-0.0031139571,-0.0031139571219682693,0.00042212754487991333,0.00027042540023103356,0.003154053030418697
0.15,0.35000001,0.10341060254722834,-0.05702334316447377,-0.0014432692,-0.00041298685,0.00015400254,6.69803e-06,0.00066534465,-0.0031706542,-0.0031706541776657104,0.0006653446471318603,0.00015400254051201046,0.003243369882745444
0.15,0.45,0.10309464205056429,-0.0597051908262074,-0.0016111182,-0.0005056723,-0.000311587,-3.8623366e-05,0.0011281394,-0.0032229498,-0.003222949802875519,0.001128139439970255,-0.00031158700585365295,0.003428875980563979
0.25000001,-0.45,0.08822276163846254,-0.05188989965245128,-0.002765824,-0.000887078,-0.0005340839,3.5366535e-05,-0.0011032139,-0.0057122046,-0.005712204612791538,-0.0011032138718292117,-0.0005340839270502329,0.005842226290253291
0.25000001,-0.35000001,0.08790679834783077,-0.054571748711168766,-0.002480181,-0.0007106103,0.0002573856,-1.45093545e-05,-0.00057512335,-0.0055960147,-0.00559601467102766,-0.0005751233547925949,0.00025738560361787677,0.005631375890538159
0.25000001,-0.25000001,0.087590835057199,-0.057253597769886255,-0.0024059145,-0.0006259091,0.00042290875,-2.2487771e-05,-0.00034879002,-0.005490044,-0.005490044131875038,-0.00034879002487286925,0.000422908749897033,0.005517344548070732
0.25000001,-0.15,0.08727487362921238,-0.05993544589728117,-0.0023723491,-0.00058488944,0.00047923872,-1.3809913e-05,-0.00018071746,-0.0054207286,-0.005420728586614132,-0.00018071745580527931,0.0004792387189809233,0.005444871620005273
0.25000001,-0.05,0.08695891220122576,-0.0626172935590148,-0.0023587006,-0.0005697899,0.0004965979,-4.5395486e-06,-5.6201505e-05,-0.0053883493,-0.005388349294662476,-5.6201504776254296e-05,0.0004965979023836553,0.005411476342651842
0.25000001,0.05,0.08664294891059399,-0.06529914122074842,-0.0023587006,-0.0005697899,0.0004965979,4.5395486e-06,5.6201505e-05,-0.0053883493,-0.005388349294662476,5.6201504776254296e-05,0.0004965979023836553,0.005411476342651842
0.25000001,0.15,0.08632698561996222,-0.06798098888248205,-0.0023723491,-0.00058488944,0.00047923872,1.3809913e-05,0.00018071746,-0.0054207286,-0.005420728586614132,0.00018071745580527931,0.0004792387189809233,0.005444871620005273
0.25000001,0.25000001,0.08601102326065302,-0.07066283840686083,-0.0024059145,-0.0006259091,0.00042290875,2.2487771e-05,0.00034879002,-0.005490044,-0.005490044131875038,0.00034879002487286925,0.000422908749897033,0.005517344548070732
0.25000001,0.35000001,0.0856950618326664,-0.0733446879312396,-0.002480181,-0.0007106103,0.0002573856,1.45093545e-05,0.00057512335,-0.0055960147,-0.00559601467102766,0.0005751233547925949,0.00025738560361787677,0.005631375890538159
0.25000001,0.45,0.08537910133600235,-0.07602653559297323,-0.002765824,-0.000887078,-0.0005340839,-3.5366535e-05,0.0011032139,-0.0057122046,-0.005712204612791538,0.0011032138718292117,-0.0005340839270502329,0.005842226290253291
0.35000001,-0.45,0.07050721999257803,-0.06821124441921711,-0.0039470815,-0.0012942057,-0.0006963243,1.7604267e-05,-0.0010472441,-0.008963785,-0.008963785134255886,-0.0010472440626472235,-0.0006963242776691914,0.009051576191997071
0.35000001,-0.35000001,0.07019125763326883,-0.07089309301227331,-0.0035183667,-0.00096443633,0.00046085357,-2.782762e-05,-0.00038888713,-0.008745639,-0.008745638653635979,-0.00038888712879270315,0.0004608535673469305,0.008766402607081697
0.35000001,-0.25000001,0.06987529527395964,-0.07357494253665209,-0.0034537828,-0.00088868337,0.0005819098,-2.3698023e-05,-0.00023509012,-0.00856593,-0.008565929718315601,-0.00023509011953137815,0.0005819097859784961,0.00858889039995512
0.35000001,-0.15,0.06955933291465044,-0.07625679112970829,-0.003412038,-0.00084704766,0.00063685875,-1.2010738e-05,-0.000117626965,-0.008471997,-0.008471997454762459,-0.00011762696522055194,0.0006368587492033839,0.00849671501480928
0.35000001,-0.05,0.06924337055534124,-0.07893863879144192,-0.0033957795,-0.0008332756,0.0006515874,-3.6868723e-06,-3.652792e-05,-0.008428819,-0.008428818546235561,-3.652791929198429e-05,0.0006515873828902841,0.008454045332963041
